Sample File,C:\Documents and Settings\Administrator\Desktop\Pier2009\SMPS\SMPS_080809_w_drier.S80
Classifier Model,3080
DMA Model,3081
DMA Inner Radius(cm),0.00937
DMA Outer Radius(cm),0.01961
DMA Characteristic Length(cm),0.44369
CPC Model,3010
Gas Viscosity (kg/(m*s)),1.8203e-005
Mean Free Path (m),6.65e-008
Channels/Decade,64
Multiple Charge Correction,FALSE
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Date,08/08/09,08/08/09,08/08/09,08/08/09,08/08/09,08/08/09,08/08/09,08/08/09,08/08/09,08/08/09,08/08/09,08/08/09,08/08/09,08/08/09,08/08/09
Start Time,15:51:39,15:56:39,16:01:39,16:06:39,16:11:39,16:16:39,16:21:39,16:26:39,16:31:39,16:36:39,16:41:39,16:46:39,16:51:39,16:56:39,17:01:39
Diameter Midpoint
Status Flag,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan
td(s),2.1975,2.1975,2.1975,2.1975,2.1975,2.1975,2.1975,2.1975,2.1975,2.1975,2.1975,2.1975,2.1975,2.1975,2.1975
tf(s),5.64061,5.64061,5.64061,5.64061,5.64061,5.64061,5.64061,5.64061,5.64061,5.64061,5.64061,5.64061,5.64061,5.64061,5.64061
D50(nm),1102.14,1102.14,1102.14,1102.14,1102.14,1102.14,1102.14,1102.14,1102.14,1102.14,1102.14,1102.14,1102.14,1102.14,1102.14
Median(nm),137.954,146.482,138.104,111.994,145.485,137.982,141.247,143.061,144.128,146.145,146.046,148.776,144.606,145.637,144.703
Mean(nm),159.336,166.466,160.687,138.878,165.809,158.718,164.048,163.556,165.441,166.867,166.552,167.366,165.861,165.692,164.863
Geo. Mean(nm),124.894,134.025,128.341,92.7884,134.211,119.978,131.311,132.847,135.401,136.034,136.979,135.577,136,135.805,134.304
Mode(nm),181.056,181.056,201.691,12.6346,181.056,174.658,216.739,224.679,194.564,201.691,181.056,194.564,209.08,181.056,216.739
Geo. Std. Dev.,2.11121,1.98743,2.02172,2.74618,1.97261,2.29198,2.03686,1.96142,1.93084,1.94816,1.91204,1.98845,1.92652,1.92951,1.95413
Total Concentration(#/cm³),1424.38,1364.94,1399.82,1605.59,1331.46,1405.3,1345.24,1318.47,1288.33,1335.1,1283.26,1285.95,1231.56,1280.71,1264.58
Comment,,,,,,,,,,,,,,,
